Council Code,Council Name,HSPC Code
S12000005,Clackmannanshire,S37000005
S12000006,Dumfries and Galloway,S37000006
S12000008,East Ayrshire,S37000008
S12000010,East Lothian,S37000010
S12000011,East Renfrewshire,S37000011
S12000013,Na h-Eileanan Siar,S37000031
S12000014,Falkirk,S37000013
S12000015,Fife,S37000014
S12000017,Highland,S37000016
S12000018,Inverclyde,S37000017
S12000019,Midlothian,S37000018
S12000020,Moray,S37000019
S12000021,North Ayrshire,S37000020
S12000023,Orkney Islands,S37000022
S12000024,Perth and Kinross,S37000023
S12000026,Scottish Borders,S37000025
S12000027,Shetland Islands,S37000026
S12000028,South Ayrshire,S37000027
S12000029,South Lanarkshire,S37000028
S12000030,Stirling,S37000005
S12000033,Aberdeen City,S37000001
S12000034,Aberdeenshire,S37000002
S12000035,Argyll and Bute,S37000004
S12000036,City of Edinburgh,S37000012
S12000038,Renfrewshire,S37000024
S12000039,West Dunbartonshire,S37000029
S12000040,West Lothian,S37000030
S12000041,Angus,S37000003
S12000042,Dundee City,S37000007
S12000044,North Lanarkshire,S37000021
S12000045,East Dunbartonshire,S37000009
S12000046,Glasgow City,S37000015
S12000047,Fife,S37000032
S12000048,Perth and Kinross,S37000033
S12000049,Glasgow City,S37000034
S12000050,North Lanarkshire,S37000035
