Year,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Edinburgh,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Eilean Siar,North Ayrshire,North Lanarkshire,Orkney,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
2003,372.4,403.7,380.3,360.2,351.4,416.6,326,334.3,331.3,346,459.7,359.8,492.4,348.7,368.8,356.7,343.2,361.6,368.7,312.9,323.2,367.7,340.4,302.9,363.6,350.1,350.8,329.9,411,385.2,496.8,342.5,358.2
2004,378.5,414.6,392,355.1,344.6,420.8,334,347.6,331.6,348.2,439.7,381,439.1,363.3,375,364.4,349.5,374,381,320.3,335.1,377,353.5,328.6,368.3,381.7,347.2,357.5,403.3,395.3,440.7,345.3,383.9
2005,394.8,429.5,412.6,382.9,363.2,452.8,348.3,353.2,359.8,369.1,472,396.5,461.6,367.1,378.2,384.7,360.7,394,381.3,321.7,367.2,423.6,365.5,387.7,380.9,396.7,376.9,390.2,449.4,393.6,447.6,348.7,391.1
2006,409.9,438.6,424.9,383.5,374.2,479.4,378.3,381.4,374.4,378.6,496.4,412.5,506.4,376.1,388.5,390,366.3,390.2,407.9,344.7,392.8,420.1,379.4,345.8,432,408.3,396.4,346.5,429.2,412.9,497.7,354.4,409
2007,424.4,466.3,447.4,396.8,363.9,484.3,390.5,388.3,383.9,417.8,467,432.4,492.2,416.1,413.1,396.8,384.6,369.8,427,353.4,384,435.6,400.4,372.1,412.7,416.8,428.2,445.4,451.2,436.9,514.5,397.6,414.4
2008,444.6,464,496.4,426.2,402.1,501.1,418.6,410,405.8,415.1,509.8,473.9,533.8,424.2,430.8,422,411.5,425.4,436.3,368.5,402.7,420.6,413.8,402.6,434.3,480.5,422.4,439.1,462.1,446.6,549.4,408.6,430
2009,456.6,492.8,516.6,422.7,410.6,516.8,409.8,409.3,416.3,417,551.4,473.1,538.3,439.5,438.5,452.5,410.2,428.5,438.6,375.2,437.5,421.1,417.5,396.1,442.7,467.9,426.4,466.1,476.8,458.2,578.2,411.2,446.6
2010,462.7,508.4,510.9,417.5,448.5,515.2,429.2,407.1,441.4,431.7,542.9,490.4,586.8,439.3,449.4,443.5,435.8,409.6,474.5,397,399.3,439.4,427.3,412,431.7,471.4,429.6,462.3,500.2,462.4,547.8,420.4,454.8
2011,464.3,520.2,497.8,418.4,436.1,529.2,449.7,421.1,419.9,423.3,549.6,486.9,591.5,446.7,435.3,451.5,428.5,417.3,443.7,410.6,378.6,439,429.1,388.5,428.4,476.7,422.7,462.5,484.3,458.1,568.2,429.2,511.8
2012,472.1,527.6,511.4,424.2,418,536.4,428.6,413.3,409.8,441.4,552,477.3,563.8,460,447.8,465.1,430.9,420.9,429.6,403.6,384.8,448.8,436.1,407.5,452.7,477.3,429.8,484.6,505.4,470.6,607.7,438.8,535.4
2013,485.4,533.6,547.5,425.7,423.8,558.8,440.3,428.3,435.2,444.9,591.4,504.4,582.4,462.8,460.9,478.3,429.1,443,452.9,415.1,416.6,461.9,456.1,394.9,463.8,494.4,461.7,491.1,507,483.9,580,463.5,477.5
2014,482.7,548.4,549.1,443.2,420.8,523.6,438.6,432.2,446,439.8,577.7,490.3,604.1,465.2,469.4,464.7,442.7,454.8,463.8,400.1,400.4,461.8,456.3,427.1,482.6,498.5,457.7,452.5,494.1,482.4,578,438.7,491
2015,490.4,551.6,545.7,446.3,475.8,536.2,488,419.4,435.7,456.3,556.8,475.1,644.9,475.7,477.9,474.7,440.7,465.6,498,412.3,450.8,451.8,462.7,408.4,492.4,494.6,471.1,485.8,498.1,496.4,588.6,432.7,489.4
2016,507.6,527.1,524.6,462,446.9,581.5,483.5,442.8,441.4,474.9,609.8,497.3,684.1,510.2,494,494,481.3,477.6,488.7,431.5,399.6,477.4,490.7,457.4,498,514.7,479.1,522.2,525.9,502,654.9,478,488.2
2017,517.4,555.2,523.2,470.6,419.3,593.8,500.1,454.2,472.1,490,604.9,522,657.6,497.7,485.7,492.1,492.4,472.8,508,446.7,477.4,494.5,497.9,390.5,510.8,511.5,504.6,512.9,537.2,529.6,696.1,500.4,525.2
2018,529.4,566,553.7,484.5,437.5,591.1,487.1,464.6,479.9,503.8,650.2,529.9,725.9,512.8,511,513.6,483.2,475.7,524.2,449.5,441.8,504.9,508.5,436.3,528.1,525.7,496.5,548.5,553.1,537.1,642.5,481.8,531.1
