Year,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Edinburgh,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Eilean Siar,North Ayrshire,North Lanarkshire,Orkney,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
2003,76.5,75.5,86.4,77.4,82.2,73.9,70,79.5,63.7,79.2,86.9,76.9,93.4,73.8,75.5,67,81.8,81.1,74.8,78.9,83.1,71.9,74.4,86,80.4,78.7,81.3,85.3,76.9,76.8,78.2,73.5,76.5
2004,76.7,73.8,85.5,78,82.1,74.1,69.6,78.2,65.5,77.5,88.1,78.7,90,70.5,77.3,66.9,83.1,79.8,75.4,83.6,81.2,70.1,74,86,78.8,79.2,79.6,90.2,78.1,76.7,79.4,75.4,78.6
2005,76.1,76.6,86.3,78.4,84.7,74.1,72.7,76.5,62.8,75.9,87.1,78.6,90.7,72.1,75.2,65.3,81,77.8,73.3,79.9,80.2,71.7,73.1,88.1,77.9,77.1,81.4,88.7,77.5,77.1,77.6,77.8,76.9
2006,76.8,73.8,85.7,76,79.7,74.7,71.3,79.8,65.1,75.4,89.5,81.7,89,73.3,75.6,69.1,80.6,79,78.4,79,83.2,68.8,74.3,88.1,77.5,80.7,82,85.3,77.2,77.4,76.2,77.1,79.9
2007,75.5,70.6,84.3,73.2,82.1,75.1,71.5,81,64.8,73.3,89.2,79.1,88,73.2,73.5,67.9,80.2,80.3,79,82.5,77.7,69.5,71.6,89.3,74.6,78.2,81.6,87.8,75.9,74.9,74.5,70.6,75.3
2008,76.1,71,83.6,79.5,83.7,75.5,75.9,77.4,63.5,70.7,89.1,81,89.7,72.5,75,67.6,80.8,80.9,78.1,80.5,78.3,68.8,74.7,82,77.9,79.5,77,89.7,75.6,76.2,75.6,75.8,77.6
2009,77.6,72.6,84.5,77.2,81.3,76.9,77.7,78.2,69.3,75,89.7,84,90.6,77.3,74.8,67.6,81.9,79.6,80.7,83.2,90.5,73.5,77.1,86,79.2,80.3,80.4,89.9,76.2,77.5,77.6,73.6,79.6
2010,78.2,75.7,83.4,75.4,84.5,76,75.8,79.8,67,71.7,91.1,82.4,89.4,79,76.9,71.1,80.2,82,77.1,82.8,83,74.7,77.4,83.8,79.5,81.9,80.4,91.2,83.2,77.4,76.7,74.7,81
2011,78.8,74.7,83,78.1,79.9,77.2,77.1,81.5,70,74.6,91.6,82.7,89.1,80.2,76.4,73.6,83,82.5,77.7,81.9,87,74.5,76.9,84.7,81.7,81.6,80.8,88.3,80.1,77.8,79.2,76.3,79.2
2012,80.2,75.6,83.2,78.4,83.1,79.3,79.1,85.4,71.4,77.4,93.5,81.8,90.7,82.4,78,75,81.3,80.9,79,83.6,85.5,76.8,79.3,87.3,83.3,82.1,83,86.7,83.4,78.3,81,76.7,83.8
2013,82,79.4,84,79.2,80.5,80.2,79.4,86,75,78.3,93.8,81.9,93.4,83,81.4,75.7,84.9,85.2,79.6,84.8,88.3,79.6,81.5,86.5,88.1,83.5,84.6,93.9,85.4,79.7,82.8,80.1,83.9
