Data Zone ID,Council Code,SIMD2004Rank
S01000001,S12000033,5459
S01000002,S12000033,6150
S01000003,S12000033,6000
S01000004,S12000033,5869
S01000005,S12000033,6049
S01000006,S12000033,4339
S01000007,S12000033,6184
S01000008,S12000033,4357
S01000009,S12000033,4882
S01000010,S12000033,5477
S01000011,S12000033,6162
S01000012,S12000033,5372
S01000013,S12000033,4838
S01000014,S12000033,5035
S01000015,S12000033,5766
S01000016,S12000033,5923
S01000017,S12000033,5353
S01000018,S12000033,4795
S01000019,S12000033,6076
S01000020,S12000033,3395
S01000021,S12000033,4213
S01000022,S12000033,6345
S01000023,S12000033,6072
S01000024,S12000033,5252
S01000025,S12000033,6244
S01000026,S12000033,2062
S01000027,S12000033,6311
S01000028,S12000033,2493
S01000029,S12000033,6166
S01000030,S12000033,2106
S01000031,S12000033,6336
S01000032,S12000033,3586
S01000033,S12000033,1535
S01000034,S12000033,5388
S01000035,S12000033,2836
S01000036,S12000033,2314
S01000037,S12000033,2626
S01000038,S12000033,3543
S01000039,S12000033,1991
S01000040,S12000033,2978
S01000041,S12000033,4184
S01000042,S12000033,3210
S01000043,S12000033,4310
S01000044,S12000033,1572
S01000045,S12000033,6297
S01000046,S12000033,6439
S01000047,S12000033,3020
S01000048,S12000033,6460
S01000049,S12000033,6312
S01000050,S12000033,5192
S01000051,S12000033,5988
S01000052,S12000033,988
S01000053,S12000033,5299
S01000054,S12000033,6294
S01000055,S12000033,1119
S01000056,S12000033,5920
S01000057,S12000033,1042
S01000058,S12000033,6494
S01000059,S12000033,6046
S01000060,S12000033,394
S01000061,S12000033,6231
S01000062,S12000033,6355
S01000063,S12000033,6463
S01000064,S12000033,3735
S01000065,S12000033,5283
S01000066,S12000033,2325
S01000067,S12000033,6145
S01000068,S12000033,6252
S01000069,S12000033,1325
S01000070,S12000033,1585
S01000071,S12000033,902
S01000072,S12000033,4621
S01000073,S12000033,6301
S01000074,S12000033,520
S01000075,S12000033,5784
S01000076,S12000033,5979
S01000077,S12000033,6424
S01000078,S12000033,1880
S01000079,S12000033,6124
S01000080,S12000033,5631
S01000081,S12000033,6484
S01000082,S12000033,1542
S01000083,S12000033,6347
S01000084,S12000033,1672
S01000085,S12000033,3984
S01000086,S12000033,5956
S01000087,S12000033,6227
S01000088,S12000033,5234
S01000089,S12000033,5921
S01000090,S12000033,6234
S01000091,S12000033,4147
S01000092,S12000033,5602
S01000093,S12000033,4151
S01000094,S12000033,5004
S01000095,S12000033,6320
S01000096,S12000033,1910
S01000097,S12000033,6490
S01000098,S12000033,1824
S01000099,S12000033,6392
S01000100,S12000033,3933
S01000101,S12000033,6410
S01000102,S12000033,1816
S01000103,S12000033,5748
S01000104,S12000033,6271
S01000105,S12000033,6041
S01000106,S12000033,6502
S01000107,S12000033,3535
S01000108,S12000033,1968
S01000109,S12000033,3282
S01000110,S12000033,4325
S01000111,S12000033,6344
S01000112,S12000033,2506
S01000113,S12000033,6472
S01000114,S12000033,2022
S01000115,S12000033,2296
S01000116,S12000033,5616
S01000117,S12000033,6288
S01000118,S12000033,2812
S01000119,S12000033,2570
S01000120,S12000033,5099
S01000121,S12000033,3721
S01000122,S12000033,2079
S01000123,S12000033,5349
S01000124,S12000033,3916
S01000125,S12000033,2045
S01000126,S12000033,1690
S01000127,S12000033,6503
S01000128,S12000033,3695
S01000129,S12000033,5503
S01000130,S12000033,2445
S01000131,S12000033,6374
