Year,Scotland,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Edinburgh,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,Eilean Siar,North Ayrshire,North Lanarkshire,Orkney,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian
2003,3413.985441,3971.790262,4638.69103,3902.612676,3325.868852,4119.023679,2822.375,3284.357513,2447.22905,2618.428571,4796.11811,3895.041667,4934.758333,3145.274112,3432.430464,1612.959654,3460.623288,2432.2,3673.5625,4148.991379,2548.805556,2589.843575,2272.485646,4116.111111,4267.777143,2964.528037,4024.292308,4235.733333,3302.034014,3010.070352,3925.754545,2082.245763,3245.516588
2004,3413.985441,3971.790262,4638.69103,3902.612676,3325.868852,4119.023679,2822.375,3284.357513,2447.22905,2618.428571,4796.11811,3895.041667,4934.758333,3145.274112,3432.430464,1612.959654,3460.623288,2432.2,3673.5625,4148.991379,2548.805556,2589.843575,2272.485646,4116.111111,4267.777143,2964.528037,4024.292308,4235.733333,3302.034014,3010.070352,3925.754545,2082.245763,3245.516588
2005,3413.985441,3971.790262,4638.69103,3902.612676,3325.868852,4119.023679,2822.375,3284.357513,2447.22905,2618.428571,4796.11811,3895.041667,4934.758333,3145.274112,3432.430464,1612.959654,3460.623288,2432.2,3673.5625,4148.991379,2548.805556,2589.843575,2272.485646,4116.111111,4267.777143,2964.528037,4024.292308,4235.733333,3302.034014,3010.070352,3925.754545,2082.245763,3245.516588
2006,3413.985441,3971.790262,4638.69103,3902.612676,3325.868852,4119.023679,2822.375,3284.357513,2447.22905,2618.428571,4796.11811,3895.041667,4934.758333,3145.274112,3432.430464,1612.959654,3460.623288,2432.2,3673.5625,4148.991379,2548.805556,2589.843575,2272.485646,4116.111111,4267.777143,2964.528037,4024.292308,4235.733333,3302.034014,3010.070352,3925.754545,2082.245763,3245.516588
2007,3413.985441,3971.790262,4638.69103,3902.612676,3325.868852,4119.023679,2822.375,3284.357513,2447.22905,2618.428571,4796.11811,3895.041667,4934.758333,3145.274112,3432.430464,1612.959654,3460.623288,2432.2,3673.5625,4148.991379,2548.805556,2589.843575,2272.485646,4116.111111,4267.777143,2964.528037,4024.292308,4235.733333,3302.034014,3010.070352,3925.754545,2082.245763,3245.516588
2008,3413.985441,3971.790262,4638.69103,3902.612676,3325.868852,4119.023679,2822.375,3284.357513,2447.22905,2618.428571,4796.11811,3895.041667,4934.758333,3145.274112,3432.430464,1612.959654,3460.623288,2432.2,3673.5625,4148.991379,2548.805556,2589.843575,2272.485646,4116.111111,4267.777143,2964.528037,4024.292308,4235.733333,3302.034014,3010.070352,3925.754545,2082.245763,3245.516588
2009,3343.69725,3944.05618,4500.159468,3715.866197,3220.893443,4170.535519,2982.578125,3271.093264,2520.536313,2567.051948,4749.259843,3839.416667,4929.658333,3227.192893,3257.055188,1947.759366,3357.873288,2188.381818,3465.339286,3754.431034,2511.138889,2460.620112,2437.007177,3718.185185,4063.468571,3130.397196,3733.792308,3693,3233.843537,3137.248744,3821.381818,2260.677966,3188.412322
2010,3343.69725,3944.05618,4500.159468,3715.866197,3220.893443,4170.535519,2982.578125,3271.093264,2520.536313,2567.051948,4749.259843,3839.416667,4929.658333,3227.192893,3257.055188,1947.759366,3357.873288,2188.381818,3465.339286,3754.431034,2511.138889,2460.620112,2437.007177,3718.185185,4063.468571,3130.397196,3733.792308,3693,3233.843537,3137.248744,3821.381818,2260.677966,3188.412322
2011,3343.69725,3944.05618,4500.159468,3715.866197,3220.893443,4170.535519,2982.578125,3271.093264,2520.536313,2567.051948,4749.259843,3839.416667,4929.658333,3227.192893,3257.055188,1947.759366,3357.873288,2188.381818,3465.339286,3754.431034,2511.138889,2460.620112,2437.007177,3718.185185,4063.468571,3130.397196,3733.792308,3693,3233.843537,3137.248744,3821.381818,2260.677966,3188.412322
2012,3358.975506,3996.535581,4524.946844,3698.887324,3370.081967,4188.069217,2947.265625,3305.471503,2542.513966,2496.506494,4652.244094,3778.933333,4909.425,3221.152284,3227.0883,2001.946686,3437.917808,2289.709091,3375.625,3877.594828,2768.527778,2466.424581,2373.19378,3933.074074,4087.64,3002.434579,3625.838462,3993.533333,3226.034014,3092.20603,3749.309091,2179.398305,3147.687204
2013,3358.975506,3996.535581,4524.946844,3698.887324,3370.081967,4188.069217,2947.265625,3305.471503,2542.513966,2496.506494,4652.244094,3778.933333,4909.425,3221.152284,3227.0883,2001.946686,3437.917808,2289.709091,3375.625,3877.594828,2768.527778,2466.424581,2373.19378,3933.074074,4087.64,3002.434579,3625.838462,3993.533333,3226.034014,3092.20603,3749.309091,2179.398305,3147.687204
2014,3358.975506,3996.535581,4524.946844,3698.887324,3370.081967,4188.069217,2947.265625,3305.471503,2542.513966,2496.506494,4652.244094,3778.933333,4909.425,3221.152284,3227.0883,2001.946686,3437.917808,2289.709091,3375.625,3877.594828,2768.527778,2466.424581,2373.19378,3933.074074,4087.64,3002.434579,3625.838462,3993.533333,3226.034014,3092.20603,3749.309091,2179.398305,3147.687204
2015,3358.975506,3996.535581,4524.946844,3698.887324,3370.081967,4188.069217,2947.265625,3305.471503,2542.513966,2496.506494,4652.244094,3778.933333,4909.425,3221.152284,3227.0883,2001.946686,3437.917808,2289.709091,3375.625,3877.594828,2768.527778,2466.424581,2373.19378,3933.074074,4087.64,3002.434579,3625.838462,3993.533333,3226.034014,3092.20603,3749.309091,2179.398305,3147.687204
2016,3595.974712,4432.063604,4883.967647,3978.632258,3555,4402.137353,3082.375,3432.661692,2785.265957,2736.177914,4941.423077,3979.416667,5178.319672,3411.579439,3496.074899,2219.004021,3728.647436,2609.482456,3402.365217,4172.103175,3286.083333,2592.860215,2594.899329,4153.62069,4288,3228.76,3784.769231,4266.233333,3390.248366,3183.357309,4147.082645,2332.884298,3395.694561
2017,3595.974712,4432.063604,4883.967647,3978.632258,3555,4402.137353,3082.375,3432.661692,2785.265957,2736.177914,4941.423077,3979.416667,5178.319672,3411.579439,3496.074899,2219.004021,3728.647436,2609.482456,3402.365217,4172.103175,3286.083333,2592.860215,2594.899329,4153.62069,4288,3228.76,3784.769231,4266.233333,3390.248366,3183.357309,4147.082645,2332.884298,3395.694561
2018,3595.974712,4432.063604,4883.967647,3978.632258,3555,4402.137353,3082.375,3432.661692,2785.265957,2736.177914,4941.423077,3979.416667,5178.319672,3411.579439,3496.074899,2219.004021,3728.647436,2609.482456,3402.365217,4172.103175,3286.083333,2592.860215,2594.899329,4153.62069,4288,3228.76,3784.769231,4266.233333,3390.248366,3183.357309,4147.082645,2332.884298,3395.694561
